acousticness,billboard_artist,billboard_df_index,billboard_name,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,spotify_album,spotify_artist,spotify_song,tempo,time_signature,type,uri,valence
0.419,andy williams,407.0,cant get used to losing you,0.635,192333.0,0.37,0.0,2eIk5ky8THuVeQg5Z5eVav,3.05e-05,0.0,0.652,-12.123,1.0,61.0,1963,0.0359,"Can't Get Used To Losing You / Love, Andy",Andy Williams,Can't Take My Eyes Off You,124.439,4.0,audio_features,spotify:track:2eIk5ky8THuVeQg5Z5eVav,0.661
0.633,the angels,408.0,my boyfriends back,0.679,128667.0,0.791,0.0,5VPsHRgNi9i3sbJU4HeCc8,0.0,8.0,0.194,-8.49,1.0,41.0,2006-06-27,0.123,60's Gold,The Angels,My Boyfriend's Back - Single Version,135.863,4.0,audio_features,spotify:track:5VPsHRgNi9i3sbJU4HeCc8,0.978
0.707,kyu sakamoto,409.0,sukiyaki,0.415,189520.0,0.359,0.0,6meIeOX3DHdaCnaNw67abE,6.53e-05,7.0,0.319,-11.094,1.0,51.0,2010-01-01,0.0334,Lost Hits Of The 60's (All Original Artists & Versions),Kyu Sakamoto,Sukiyaki,146.029,4.0,audio_features,spotify:track:6meIeOX3DHdaCnaNw67abE,0.404
0.787,the tymes,410.0,so much in love,0.546,140467.0,0.494,0.0,6h0LLmMVZY108wNzD5UM6O,0.000111,4.0,0.453,-10.39,1.0,45.0,1963-01-01,0.034,So Much In Love,The Tymes,So Much In Love,75.655,4.0,audio_features,spotify:track:6h0LLmMVZY108wNzD5UM6O,0.44
0.51,peter paul and mary,411.0,puff the magic dragon,0.507,206867.0,0.088,0.0,3hqsBLMAqJqrhr434Z7WlA,0.0,9.0,0.0984,-23.309,1.0,57.0,1963,0.0343,Moving,"Peter, Paul and Mary","Puff, the Magic Dragon",144.226,4.0,audio_features,spotify:track:3hqsBLMAqJqrhr434Z7WlA,0.398
0.834,peter paul and mary,412.0,blowin in the wind,0.381,177360.0,0.0848,0.0,62Yu8QL1g9pdbvN4XL9Rah,0.0,5.0,0.112,-17.77,1.0,56.0,1963,0.032,In the Wind,"Peter, Paul and Mary",Blowin' in the Wind,155.036,4.0,audio_features,spotify:track:62Yu8QL1g9pdbvN4XL9Rah,0.557
0.397,the surfaris,413.0,wipe out,0.392,160307.0,0.71,0.0,1SXnikPeoiWybksa7TWIYh,0.913,0.0,0.431,-9.997,1.0,50.0,2015-07-22,0.0368,The Best Of The Surfaris,The Surfaris,Wipe Out,152.565,4.0,audio_features,spotify:track:1SXnikPeoiWybksa7TWIYh,0.408
0.894,al martino,414.0,i love you because,0.29,163400.0,0.2,0.0,5ggafYsNyKhTR9bISS3OPj,0.000569,8.0,0.221,-12.748,1.0,40.0,1963-07-07,0.0275,I Love You Because,Al Martino,I Love You Because,88.654,4.0,audio_features,spotify:track:5ggafYsNyKhTR9bISS3OPj,0.233
0.609,the rebels,415.0,wild weekend,0.568,138627.0,0.81,0.0,1aPdVWDcTG2Qn0ziCoHkaG,0.554,2.0,0.117,-5.658,1.0,25.0,1993,0.0581,Wild Weekend,The Rockin' Rebels,Wild Weekend,124.953,4.0,audio_features,spotify:track:1aPdVWDcTG2Qn0ziCoHkaG,0.642
0.77,bobby darin,416.0,youre the reason im living,0.43,146533.0,0.204,0.0,1r3HrhoBpczK4UryeoK1mO,0.0,2.0,0.252,-12.807,1.0,19.0,2004-09-28,0.031,The Legendary Bobby Darin,Bobby Darin,You're The Reason I'm Living - Remastered,75.058,4.0,audio_features,spotify:track:1r3HrhoBpczK4UryeoK1mO,0.408
0.572,the four seasons,417.0,walk like a man,0.703,138067.0,0.714,0.0,5p3s71tBOeh718yRnHRT3j,4.57e-06,3.0,0.0825,-7.666,1.0,0.0,2021-01-15,0.0337,60's UK Hits,Frankie Valli & The Four Seasons,Walk Like a Man,118.207,4.0,audio_features,spotify:track:5p3s71tBOeh718yRnHRT3j,0.936
0.156,inez and charlie foxx,418.0,mockingbird,0.862,161267.0,0.384,0.0,0qOFQQDqFUFDfP6Kaf71GI,1.91e-05,6.0,0.149,-11.925,1.0,14.0,2007-09-24,0.0433,Pure 60s,Inez & Charlie Foxx,Mockingbird,118.05,4.0,audio_features,spotify:track:0qOFQQDqFUFDfP6Kaf71GI,0.751
0.722,peggy march,419.0,i will follow him,0.638,148160.0,0.44,0.0,3GQETOg4ZXyQ1jEFqfMoac,0.0,0.0,0.515,-10.892,1.0,53.0,1963-12-10,0.0348,I Will Follow Him,Little Peggy March,I Will Follow Him,125.495,4.0,audio_features,spotify:track:3GQETOg4ZXyQ1jEFqfMoac,0.904
0.676,the chantays,420.0,pipeline,0.444,142785.0,0.552,0.0,20QOF5xJItVcHSwCv6CVqz,0.957,9.0,0.165,-16.059,0.0,37.0,2014-03-10,0.0354,Pipeline,The Chantays,Pipeline,152.575,4.0,audio_features,spotify:track:20QOF5xJItVcHSwCv6CVqz,0.805
0.497,jan and dean,421.0,surf city,0.534,147267.0,0.807,0.0,1Oewmmr12xuhgzvUJ9Q0cf,5e-05,8.0,0.232,-12.871,1.0,53.0,2010-01-01,0.0349,Surf City And Other Swingin' Cities,Jan & Dean,Surf City,147.843,4.0,audio_features,spotify:track:1Oewmmr12xuhgzvUJ9Q0cf,0.964
0.368,lesley gore,422.0,its my party,0.692,140000.0,0.501,0.0,1Pq47iFLC5U7j8xeNiNcuS,0.0,9.0,0.0393,-11.708,1.0,60.0,1963-06-01,0.0625,I'll Cry If I Want To,Lesley Gore,It's My Party,128.388,4.0,audio_features,spotify:track:1Pq47iFLC5U7j8xeNiNcuS,0.961
0.477,eydie gorme,423.0,blame it on the bossa nova,0.678,150333.0,0.572,0.0,2EiDXomguI2imTccpvvEiU,2.58e-05,2.0,0.298,-9.539,1.0,45.0,2002,0.038,Blame It on the Bossa Nova,Eydie Gormé,Blame It on the Bossa Nova,81.527,4.0,audio_features,spotify:track:2EiDXomguI2imTccpvvEiU,0.931
0.119,the dovells,424.0,you cant sit down,0.432,139187.0,0.869,0.0,54sxFj01a5BELIOKHKx5Tm,0.0,5.0,0.319,-5.596,1.0,31.0,1963-01-01,0.239,For Your Hully Gully Party/You Can't Sit Down,The Dovells,You Can't Sit Down,164.777,4.0,audio_features,spotify:track:54sxFj01a5BELIOKHKx5Tm,0.966
